id,source_ip,dur,spkts,sbytes,sttl,swin,stcpb,dtcpb,rate,pps,ttl_ratio,tcp_diff,swin_interaction,label
33,10.0.0.5,1738340032.861679,1,861,64,42340,3461083520,0,4.953001045385867e-07,5.752614454571275e-10,3.681673250925616e-08,-3461083520.0,146542276236800.0,0
34,10.0.0.1,1738340032.861815,1,871,64,43440,1936690957,3461083521,5.010527189931189e-07,5.752614454570825e-10,3.681673250925328e-08,1524392564.0,84129855172080.0,0
35,10.0.0.5,1738340032.861866,1,833,64,83,3461083521,1936690958,4.791927840657357e-07,5.752614454570656e-10,3.68167325092522e-08,-1524392563.0,287269932243.0,0
36,10.0.0.5,1738340032.862478,1,1020,64,83,3461083521,1936690958,5.867666743660004e-07,5.752614454568631e-10,3.681673250923924e-08,-1524392563.0,287269932243.0,0
37,10.0.0.1,1738340032.862515,1,780,64,85,1936690958,3461083661,4.4870392745634365e-07,5.752614454568509e-10,3.6816732509238456e-08,1524392703.0,164618731430.0,0
38,10.0.0.1,1738340032.863427,1,929,64,85,1936690958,3461083661,5.344178828291341e-07,5.752614454565491e-10,3.681673250921914e-08,1524392703.0,164618731430.0,0
39,10.0.0.1,1738340032.863533,1,840,64,85,1936691076,3461083661,4.832196141834718e-07,5.75261445456514e-10,3.68167325092169e-08,1524392585.0,164618741460.0,0
40,10.0.0.5,1738340032.863641,1,898,64,83,3461083661,1936691076,5.165847780199175e-07,5.752614454564782e-10,3.681673250921461e-08,-1524392585.0,287269943863.0,0
41,10.0.0.5,1738340032.865032,1,940,64,83,3461083661,1936691077,5.407457587286568e-07,5.752614454560179e-10,3.6816732509185146e-08,-1524392584.0,287269943863.0,0
42,10.0.0.1,1738340032.865100,1,827,64,85,1936691077,3461083662,4.7574121539210824e-07,5.752614454559955e-10,3.681673250918371e-08,1524392585.0,164618741545.0,0
43,10.0.0.5,1738340033.008544,1,785,64,42340,783402794,0,4.51580234645693e-07,5.752614454085262e-10,3.6816732506145675e-08,-783402794.0,33169274297960.0,0
44,10.0.0.2,1738340033.008682,1,813,64,43440,1671092120,783402795,4.676875551170946e-07,5.752614454084805e-10,3.681673250614275e-08,-887689325.0,72592241692800.0,0
45,10.0.0.5,1738340033.008744,1,871,64,83,783402795,1671092121,5.010527189507686e-07,5.752614454084599e-10,3.681673250614143e-08,887689326.0,65022431985.0,0
46,10.0.0.5,1738340033.009285,1,1063,64,83,783402795,1671092121,6.115029164690025e-07,5.752614454082809e-10,3.681673250612998e-08,887689326.0,65022431985.0,0
47,10.0.0.2,1738340033.009321,1,820,64,85,1671092121,783403003,4.7171438523478054e-07,5.75261445408269e-10,3.681673250612922e-08,-887689118.0,142042830285.0,0
